war_id,war_name,side,bucket,low,high,notes
boxer_rebellion,Boxer Rebellion,Qing Empire / Boxer side,military_killed,2500,20000,"Low is inferred from Britannica's approximate 3,000 total military killed with the great bulk Chinese, minus the commonly cited 526 foreign soldiers killed. High reflects secondary summaries stating about 20,000 Imperial troops probably died. No audited Qing/Boxer military death roll is available."
boxer_rebellion,Boxer Rebellion,Qing Empire / Boxer side,civilians_killed_directly,32200,,The numeric low includes only Chinese Christian and foreign-civilian categories that recur in multiple summaries. It excludes the unknown number of non-Christian Chinese civilians killed by Boxer/Qing forces.
boxer_rebellion,Boxer Rebellion,Qing Empire / Boxer side,deaths_from_actions:siege,,,"Available Preston/Clark excerpts state that over 400 Chinese and foreigners died at the Peitang, including 166 children, but the figure mixes direct mine/explosion deaths, siege deprivation, and possibly other causes; it is not safely separable from direct-civilian categories."
boxer_rebellion,Boxer Rebellion,Eight-Nation Alliance,military_killed,526,526,"A commonly cited compact figure is 526 foreign soldiers killed. U.S. official histories give component figures such as 95 American casualties at Tientsin and 7 U.S. Legation Guard killed; the 526 figure should be treated as a secondary-summary number, not a fully audited all-cause service-death regi"
boxer_rebellion,Boxer Rebellion,Eight-Nation Alliance,civilians_killed_directly,3000,,The numeric low includes only the Amur/Blagoveshchensk massacres. The broader Allied civilian toll is certainly higher but not quantifiable with the sources consulted.
boxer_rebellion,Boxer Rebellion,Eight-Nation Alliance,deaths_from_actions:displacement,,,"Allied looting, forced requisitions, village destruction, and expulsions caused displacement and likely secondary deaths, but no defensible separate death count is available. The Sixty-Four Villages East of the River lost Chinese residency rights after the Amur massacres."
boxer_rebellion,Boxer Rebellion,Eight-Nation Alliance,deaths_from_actions:requisition / looting,,,"Klein notes looting and forcible seizure of provisions and says Allied strategy and tactics took a great death toll among innocent Chinese, but the indirect share is not quantifiable."
philippine_american_war,Philippine-American War,United States and U.S.-aligned forces,military_killed,4165,4300,"Counts primarily U.S. military deaths from all causes. Sources give 4,165, over 4,200, or about 4,300 American military deaths; local Filipino auxiliaries are not cleanly included because sources often combine killed and wounded."
philippine_american_war,Philippine-American War,United States and U.S.-aligned forces,civilians_killed_directly,34000,34000,"Direct civilian killing is the least cleanly separated category. The 34,000 figure is used as a conservative point estimate for direct-war Filipino civilian deaths, but some deaths in combat zones may blur civilian/combatant categories."
philippine_american_war,Philippine-American War,United States and U.S.-aligned forces,deaths_from_actions:disease,109461,200000,"Official Bureau of Health records reported 109,461 cholera deaths in 1902-1904; war summaries often cite up to 200,000 noncombatant deaths from cholera/disease in the war's immediate aftermath. Attribution to U.S. action is partial: wartime disruption, displacement, reconcentration, and food destruc"
philippine_american_war,Philippine-American War,United States and U.S.-aligned forces,deaths_from_actions:displacement,,,"Bell's reconcentration policy and destruction of food supplies increased civilian mortality and disease transmission. Some modern summaries attribute over 11,000 deaths directly to reconcentration, but overlap with cholera and broader disease/famine deaths prevents a clean additive estimate."
philippine_american_war,Philippine-American War,First Philippine Republic / Philippine Republican Army,military_killed,16000,20000,"U.S. Army Combat Studies Institute gives 16,000-20,000 insurrectos killed; U.S. State Department gives over 20,000 Filipino combatants dead."
philippine_american_war,Philippine-American War,First Philippine Republic / Philippine Republican Army,civilians_killed_directly,,,"Filipino guerrillas assassinated collaborators and attacked U.S. soldiers, but no credible aggregate civilian-death estimate for civilians directly killed by Philippine Republican forces was found. The Balangiga attack killed U.S. soldiers, not civilians."
russo_japanese_war,Russo-Japanese War,Russian Empire,military_killed,43300,71453,"Common summaries give 34,000-52,623 Russian combatants killed or died of wounds and 9,300-18,830 died of disease, for 43,300-71,453 total dead. OnWar gives 71,453 Russian fatalities, citing Clodfelter, COW85, Encyclopaedia Britannica, and Kohn. NLM cross-checks with 40,000-70,000 Russian deaths."
russo_japanese_war,Russo-Japanese War,Russian Empire,civilians_killed_directly,,20002,"The only specific non-Chinese direct civilian deaths found were the two British fishermen killed at Dogger Bank. The much larger Chinese civilian toll is not cleanly attributable by belligerent, although Russian violence against Chinese civilians is specifically reported."
russo_japanese_war,Russo-Japanese War,Empire of Japan,military_killed,80378,99000,"Common summaries give 47,152-47,400 killed, 11,424-11,500 died of wounds, and 21,802-27,200 died of disease, for 80,378-99,000 Japanese dead. NLM gives a cross-check point estimate of 85,600 Japanese deaths. The 1908 British War Office report reproduces Japanese medical tables with 43,219 killed in "
russo_japanese_war,Russo-Japanese War,Empire of Japan,civilians_killed_directly,,20000,"No responsible source found separates Chinese civilian deaths into Japanese-caused versus Russian-caused categories. The high value is an attribution upper bound only, not a point estimate."
